User-ID,ISBN
1548,128933
31751,2190
575,128934
1287,2041
11697,128935
3461,128936
31273,128937
4418,7561
35354,25644
1533,128938
1140,59454
4196,28665
10820,36878
8533,128939
4768,988
30917,128940
31288,7571
57759,73340
70,128941
3304,32546
24204,2382
560,14609
20117,27269
3681,128942
11210,128943
2106,10698
6840,21896
57760,75820
5771,128944
1440,128945
57761,116262
54411,27654
327,237
2513,28783
12062,14526
30833,59301
393,11830
4201,128946
57762,128947
18342,4667
4129,50230
32742,74229
366,1972
21276,127227
70,128948
12693,128949
57763,128950
15323,5374
15354,16930
23575,109040
14935,128951
21537,735
16786,38299
1568,128952
57764,179
1164,128953
12274,128954
7870,73333
1468,128955
49455,128956
57765,49546
13042,81228
3486,59399
14337,128957
13140,58795
1953,29402
243,128958
17620,58137
457,128959
5555,4419
1374,30308
1675,37268
98,128960
7516,67
23743,9597
992,128961
499,128962
777,40702
1680,10360
25579,128963
366,128964
15922,3370
1901,5766
55757,8041
3856,128965
82,128966
145,128967
1764,128968
1756,36531
962,61501
3742,2832
5062,128969
57766,53248
9278,128970
19,128971
23951,3205
3366,128972
88,128973
17935,979
11191,4340
3152,128974
4482,128975
6080,14968
49,98097
57767,128976
36556,15189
1,53347
160,128977
57768,28857
57769,2085
2401,128978
1472,35518
395,5570
57770,128979
319,128980
738,128981
173,18220
1972,128982
15136,128983
42843,126222
11951,119050
45637,910
441,128984
57771,66554
28517,98666
3101,128985
1250,128986
57772,6604
734,42231
328,128987
38946,128988
170,864
24777,128989
17432,128990
57773,128991
15904,64517
3621,7146
3675,128992
9011,57688
49112,128993
1793,8708
6487,5377
395,128994
1691,128995
57774,7042
393,11648
5685,128996
11071,59984
36514,1022
14747,128997
1009,798
3187,35970
3853,56977
853,22256
38,4053
1009,48820
28251,128998
4017,11404
47,20886
1009,25585
47,589
52661,36925
47,128999
25570,104862
2757,129000
1785,74139
2233,129001
720,71019
4776,129002
9958,18628
10667,129003
288,129004
57775,41964
47,129005
13190,41113
6709,22600
47,129006
835,5982
2431,129007
1884,129008
16364,1324
28058,6786
2303,129009
1564,129010
2329,129011
1287,129012
25,129013
2199,129014
1947,61129
194,129015
57776,95239
10880,129016
1389,104813
57777,36175
14243,1741
709,10715
4214,9796
1140,72223
992,34572
2329,129017
2976,5850
47,56244
57778,23212
10784,4701
4304,129018
1843,4384
57779,129019
47,3822
2023,8599
44761,19703
18101,129020
57780,9431
11002,514
40873,129021
4079,6830
8031,129022
17111,129023
4824,9095
28518,38892
1595,17376
32505,123212
11464,270
57781,17373
57782,129024
155,129025
47,129026
57783,1789
10974,129027
32487,8466
32,129028
2922,15439
3136,1622
10904,61267
668,129029
2324,196
26787,129030
57784,81165
10526,38623
2478,38452
57785,81243
574,22323
8660,129031
2822,33379
7470,14899
8,11567
118,7574
3798,13889
2482,129032
19936,1876
8072,129033
177,129034
7048,105724
39699,3552
4115,129035
57786,129036
1536,11402
57787,129037
9221,129038
57788,16146
7804,108412
418,129039
38729,4024
77,129040
27598,8058
360,4592
14174,129041
7959,107131
